wav_id,발화문,감정,Angry,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
5e258fd1305bcf3ad153a6a4,"어, 청소 니가 대신 해 줘!",Neutral,0,0,0,0,1,0,0
5e258fe2305bcf3ad153a6a5,둘 다 청소 하기 싫어. 귀찮아.,Neutral,0,0,0,0,1,0,0
5e258ff5305bcf3ad153a6a6,둘 다 하기 싫어서 화내.,Angry,1,0,0,0,0,0,0
5e25902f305bcf3ad153a6a9,그럼 방세는 어떡해.,Sadness,0,0,0,0,0,1,0
5e27ec9f5807b852d9e01542,나 결국 헤어졌어.,Sadness,0,0,0,0,0,1,0
5e27f90b5807b852d9e0157b,권태긴줄 알았는데 다른 사람이 생겼나보더라고.,Sadness,0,0,0,0,0,1,0
5e27fa1c5807b852d9e01586,그냥 걷고 있어.,Neutral,0,0,0,0,1,0,0
5e27fb575807b852d9e01595,어. 고등학교 동창인데 이렇게 더럽게 쓸줄 몰랐어.,Disgust,0,1,0,0,0,0,0
5e27fbdc5807b852d9e0159d,약속 있어서 친구 기다리고 있는데 아직 안 왔어.,Angry,1,0,0,0,0,0,0
5e27fbee5807b852d9e0159e,벌써 한 시간 됐어. 한 시간이 넘었는데 아직도 안 와.,Angry,1,0,0,0,0,0,0
5e27fc015807b852d9e0159f,나 지금 약속 한시간 연락도 안돼.,Angry,1,0,0,0,0,0,0
5e27fc205807b852d9e015a2,어. 맨날 늦는데 이번에 또 늦는 거야.,Angry,1,0,0,0,0,0,0
5e27fc345807b852d9e015a3,"아, 말해도 안 들어. 맨날 똑같아 진짜. 아, 짜증나.",Angry,1,0,0,0,0,0,0
5e2840225807b852d9e01618,처음 학원에서 만났다가 서로 좋아해서 사귀게 되었지.,Neutral,0,0,0,0,1,0,0
5e2840415807b852d9e01619,내가 애정 표현을 잘 못해서 자주 싸우긴 했어.,Sadness,0,0,0,0,0,1,0
5e28405b5807b852d9e0161a,오늘 헤어졌어.,Sadness,0,0,0,0,0,1,0
5e2841675807b852d9e0161e,룸메이트와 너무 자주 싸우게 돼.,Sadness,0,0,0,0,0,1,0
5e2841be5807b852d9e01622,그러고 싶은데 보증금 때문에 그럴 수가 없어.,Sadness,0,0,0,0,0,1,0
5e2842de5807b852d9e0162b,이 회사가 이번 시즌 마지막 회사였어.,Sadness,0,0,0,0,0,1,0
5e2843095807b852d9e0162e,부모님한테 아직 말 안했는데 말하기가 두려워.,Sadness,0,0,0,0,0,1,0
5e2843255807b852d9e0162f,아니. 입맛도 없어.,Sadness,0,0,0,0,0,1,0
5e28447c5807b852d9e0163a,응. 혼 났지.,Neutral,0,0,0,0,1,0,0
5e2844915807b852d9e0163b,그럴 시간도 없다.,Sadness,0,0,0,0,0,1,0
5e2845945807b852d9e01643,부모님도 다 슬퍼하셔.,Sadness,0,0,0,0,0,1,0
5e2845b55807b852d9e01645,"그래, 고마워.",Neutral,0,0,0,0,1,0,0
5e2846b45807b852d9e0164d,"해봤는데, 전화를 안 받네.",Neutral,0,0,0,0,1,0,0
5e2846c55807b852d9e0164e,맨날 그래 얘는.,Angry,1,0,0,0,0,0,0
5e28482c5807b852d9e01659,어. 크게 다치진 않았는데.,Neutral,0,0,0,0,1,0,0
5e28483f5807b852d9e0165a,일주일에 다섯번은 먹는다니까?,Surprise,0,0,0,0,0,0,1
5e2870915807b852d9e016e4,"야. 나 맨날 늦는 지각쟁이 기다리고 있어, 또.",Angry,1,0,0,0,0,0,0
5e2873255807b852d9e016fb,그저께 아파해서 병원을 갔는데 괜찮아지나 싶더니 결국엔 이렇게 됐네.,Sadness,0,0,0,0,0,1,0
5e2873465807b852d9e016fc,"다들 마음이 안좋지. 집에 들어가기도 싫네, 나는.",Sadness,0,0,0,0,0,1,0
5e2873785807b852d9e016fe,응. 그래봐야지. 해피도 오래 살긴 했어.,Sadness,0,0,0,0,0,1,0
5e2874275807b852d9e01702,"아니, 회사에서 또 연락 왔어! 아니, 퇴근한지 얼마나 됐다고.",Angry,1,0,0,0,0,0,0
5e2874405807b852d9e01703,진짜 진지하게 고민중이야.,Angry,1,0,0,0,0,0,0
5e2874565807b852d9e01704,"이게, 해결될 기미는 안보여가지고, 니 말대로 이직 생각해보고 있어.",Angry,1,0,0,0,0,0,0
5e2874745807b852d9e01705,회사 안에? 회사 안에서 얘기하긴 좀 그렇지. 상사한테는.,Sadness,0,0,0,0,0,1,0
5e2874965807b852d9e01706,들었대. 고마워.,Happiness,0,0,0,1,0,0,0
5e2875925807b852d9e01712,그렇지. 뭐 생명까지는 괜찮은데. 우리 마음에 지장이 있네.,Sadness,0,0,0,0,0,1,0
5e2875aa5807b852d9e01713,"지난 번에도 드시고 다친 적 있었거든, 얼굴? 이번에 또 그런 거야.",Sadness,0,0,0,0,0,1,0
5e2875c35807b852d9e01714,"다들 지쳤어. 나도 지쳤구, 이제.",Sadness,0,0,0,0,0,1,0
5e2876435807b852d9e01718,어제 밤 새서 작성한 기획안 다시 해야되네.,Sadness,0,0,0,0,0,1,0
5e28765a5807b852d9e01719,"그렇지. 아픈데도 했더니, 참, 근데 맞는 말이라서.",Sadness,0,0,0,0,0,1,0
5e2876795807b852d9e0171a,응. 마음 좀 추스려야지. 근데 내가 잘하는게 없는 거 같네.,Sadness,0,0,0,0,0,1,0
5e28769b5807b852d9e0171b,모르겠어. 좀 최대한 추스려볼게.,Sadness,0,0,0,0,0,1,0
5e2876b55807b852d9e0171c,노력하면 괜찮아지겠지. 근데 내가 실력이 부족한 건 맞아.,Sadness,0,0,0,0,0,1,0
5e2878915807b852d9e01734,"했는데, 안 받네. 얘 맨날 그래. 습관인가봐.",Angry,1,0,0,0,0,0,0
5e28bb4a5807b852d9e01750,청소 좀 하고 살자.,Angry,1,0,0,0,0,0,0
5e296cc65807b852d9e01810,아니. 아직 밥 못 먹었다.,Sadness,0,0,0,0,0,1,0
5e2970845807b852d9e0185d,응. 그 동안 괜찮았는데.,Sadness,0,0,0,0,0,1,0
5e29758c5807b852d9e0188f,응. 인제 병원에서 퇴원하는 길이야.,Neutral,0,0,0,0,1,0,0
5e2979c25807b852d9e018d5,이제 두 달 지났어.,Sadness,0,0,0,0,0,1,0
5e297cff5807b852d9e018ff,어제 지진 있었잖아. 다행히 다치진 않았어.,Neutral,0,0,0,0,1,0,0
5e297d615807b852d9e01902,옆에서 친구가 넘어져서 발목 다쳤어.,Neutral,0,0,0,0,1,0,0
5e29813c5807b852d9e01944,아니 룸메이트 하기 전에는 그냥 학교에서만 알던 사이?,Neutral,0,0,0,0,1,0,0
5e2983365807b852d9e0196f,그럼 치워주시려나?,Disgust,0,1,0,0,0,0,0
5e29841e5807b852d9e01987,또 술 먹고 그랬지 뭐. 지금 병원에 계셔.,Sadness,0,0,0,0,0,1,0
5e2984895807b852d9e01990,"했는데 소용 없어. 다 포기했어, 지금은.",Sadness,0,0,0,0,0,1,0
5e2985665807b852d9e01999,응. 걷고 있어.,Sadness,0,0,0,0,0,1,0
5e2985815807b852d9e0199c,아휴. 이제 내년 거 준비해야지 뭐.,Sadness,0,0,0,0,0,1,0
5e29859a5807b852d9e0199e,너무 죄송해서 말도 못하겠어.,Sadness,0,0,0,0,0,1,0
5e2986db5807b852d9e019b3,나 결국 헤어졌어.,Sadness,0,0,0,0,0,1,0
5e29871c5807b852d9e019b8,권태기지 뭐.,Neutral,0,0,0,0,1,0,0
5e2987315807b852d9e019ba,"원래 알고 지내던 사이었는데, 만난진 한 3년 됐나?",Sadness,0,0,0,0,0,1,0
5e2987fe5807b852d9e019c8,"그런 건 없었는데, 다른 여자 생긴 거 같아.",Sadness,0,0,0,0,0,1,0
5e2988fc5807b852d9e019da,응. 다리 조금 다쳤는데 좀 쉬면 괜찮아질 것 같아.,Neutral,0,0,0,0,1,0,0
5e298b9f5807b852d9e01a0f,다른 여자가 생겼나봐.,Sadness,0,0,0,0,0,1,0
5e298bc45807b852d9e01a10,대학교 때 동아리 선배였었어.,Sadness,0,0,0,0,0,1,0
5e298bdc5807b852d9e01a11,우리는 싸울 일이 전혀 없었어.,Sadness,0,0,0,0,0,1,0
5e298c085807b852d9e01a12,두 달 됐나봐. 일년 지난 거 같아.,Sadness,0,0,0,0,0,1,0
5e298fd15807b852d9e01a36,잘 모르겠어.,Neutral,0,0,0,0,1,0,0
